epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,7713.37,0.66164,0.53106,1.03212,0.82672,0.7855,0.8248,0.57048,1.10736,0.73802,1.23828,0.000183625,0.000183625,0.000183625
109,7785.37,0.65749,0.52439,1.02864,0.82794,0.76882,0.81546,0.57277,1.10302,0.74147,1.23854,0.0001795,0.0001795,0.0001795
110,7854.79,0.66306,0.53606,1.03381,0.8093,0.78541,0.81637,0.56596,1.11019,0.75957,1.24103,0.000175375,0.000175375,0.000175375
111,7926.49,0.64634,0.51535,1.02586,0.83867,0.77548,0.82266,0.5738,1.10021,0.74941,1.23011,0.00017125,0.00017125,0.00017125
112,7998.28,0.64987,0.51512,1.02989,0.81493,0.7804,0.82015,0.57139,1.095,0.75486,1.22651,0.000167125,0.000167125,0.000167125
113,8068.23,0.65376,0.52751,1.02487,0.81702,0.77868,0.81994,0.57324,1.08575,0.74805,1.21935,0.000163,0.000163,0.000163
114,8140.96,0.64658,0.5118,1.02623,0.8606,0.75581,0.82233,0.5738,1.09322,0.74583,1.22698,0.000158875,0.000158875,0.000158875
115,8213.14,0.66324,0.52627,1.02884,0.8236,0.76745,0.82027,0.57456,1.09467,0.74424,1.22935,0.00015475,0.00015475,0.00015475
116,8282.59,0.65009,0.51607,1.02413,0.83661,0.77544,0.81228,0.56666,1.09722,0.75014,1.22988,0.000150625,0.000150625,0.000150625
117,8353.42,0.65531,0.51247,1.02463,0.8201,0.77508,0.81113,0.56774,1.10429,0.75236,1.23611,0.0001465,0.0001465,0.0001465
118,8424.43,0.63735,0.51199,1.02066,0.82226,0.78429,0.81546,0.5707,1.10073,0.74874,1.22912,0.000142375,0.000142375,0.000142375
119,8494.35,0.63395,0.50634,1.0217,0.82577,0.768,0.81648,0.56822,1.11113,0.76277,1.23896,0.00013825,0.00013825,0.00013825
120,8563.93,0.64303,0.50537,1.02363,0.80794,0.7797,0.81784,0.57046,1.10665,0.74851,1.23693,0.000134125,0.000134125,0.000134125
121,8634.94,0.63472,0.50225,1.01943,0.81466,0.77964,0.81831,0.57152,1.09315,0.74374,1.22361,0.00013,0.00013,0.00013
122,8704,0.62977,0.49732,1.01491,0.84861,0.75439,0.81835,0.57055,1.0946,0.75763,1.22264,0.000125875,0.000125875,0.000125875
123,8775.21,0.6232,0.49413,1.01689,0.81662,0.77304,0.81577,0.57178,1.10172,0.75556,1.2257,0.00012175,0.00012175,0.00012175
